Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,6935.0,6935.0,6755.0,6800.0,6253.947265625,147238500.0
2020-12-21,6890.0,6890.0,6800.0,6830.0,6281.5390625,93692500.0
2020-12-22,6740.0,6820.0,6710.0,6715.0,6175.7734375,61790500.0
2020-12-23,6905.0,6905.0,6620.0,6725.0,6184.97021484375,76948000.0
2020-12-28,6790.0,6820.0,6660.0,6780.0,6235.55322265625,60234000.0
2020-12-29,6775.0,6810.0,6740.0,6765.0,6221.75830078125,34212500.0
2020-12-30,6800.0,6800.0,6700.0,6770.0,6226.3564453125,52675500.0
2021-01-04,6800.0,6855.0,6720.0,6835.0,6286.1376953125,47937000.0
2021-01-05,6860.0,7090.0,6850.0,7090.0,6520.65966796875,104831000.0
2021-01-06,7050.0,7075.0,6880.0,6945.0,6387.3037109375,89753500.0
2021-01-07,7000.0,7050.0,6910.0,6965.0,6405.69775390625,71360000.0
2021-01-08,7035.0,7080.0,6975.0,7050.0,6483.87255859375,75033500.0
2021-01-11,7150.0,7360.0,7145.0,7345.0,6755.18359375,169034500.0
2021-01-12,7345.0,7380.0,7160.0,7160.0,6585.0390625,95235000.0
2021-01-13,7245.0,7275.0,7070.0,7120.0,6548.25146484375,76581500.0
2021-01-14,7050.0,7090.0,6995.0,7020.0,6456.28076171875,89319500.0
2021-01-15,7095.0,7100.0,6840.0,6955.0,6396.501953125,89853500.0
2021-01-18,6955.0,7125.0,6845.0,7120.0,6548.25146484375,86343000.0
2021-01-19,7120.0,7120.0,7005.0,7095.0,6525.2587890625,73777000.0
2021-01-20,7165.0,7295.0,7070.0,7095.0,6525.2587890625,107216000.0
2021-01-21,7280.0,7300.0,7060.0,7075.0,6506.86474609375,66428000.0
2021-01-22,7075.0,7160.0,7075.0,7080.0,6511.46240234375,80829000.0
2021-01-25,7200.0,7200.0,7000.0,7035.0,6470.07666015625,76836500.0
2021-01-26,6955.0,7000.0,6820.0,6820.0,6272.34130859375,98658000.0
2021-01-27,6820.0,6930.0,6705.0,6790.0,6244.7509765625,97920000.0
2021-01-28,6790.0,6925.0,6790.0,6900.0,6345.91796875,104627000.0
2021-01-29,6900.0,7000.0,6760.0,6760.0,6217.15966796875,132762500.0
2021-02-01,6760.0,6920.0,6595.0,6820.0,6272.34130859375,113129000.0
2021-02-02,6965.0,6980.0,6800.0,6800.0,6253.947265625,86741000.0
2021-02-03,7000.0,7000.0,6825.0,6825.0,6276.93994140625,67291000.0
2021-02-04,6920.0,7000.0,6835.0,6855.0,6304.53125,80950500.0
2021-02-05,6870.0,6950.0,6855.0,6915.0,6359.712890625,51602000.0
2021-02-08,7050.0,7055.0,6880.0,6920.0,6364.3115234375,45604000.0
2021-02-09,7000.0,7030.0,6955.0,6980.0,6419.4931640625,75574000.0
2021-02-10,7050.0,7050.0,6900.0,6920.0,6364.3115234375,44984500.0
2021-02-11,6985.0,6985.0,6840.0,6880.0,6327.52392578125,36926000.0
2021-02-15,6830.0,6890.0,6720.0,6800.0,6253.947265625,83922000.0
2021-02-16,6880.0,6945.0,6830.0,6940.0,6382.70556640625,47221000.0
2021-02-17,6890.0,6960.0,6850.0,6900.0,6345.91796875,66011500.0
2021-02-18,6850.0,6900.0,6735.0,6735.0,6194.16796875,91204000.0
2021-02-19,6780.0,6850.0,6760.0,6825.0,6276.93994140625,70487500.0
2021-02-22,6900.0,6940.0,6790.0,6790.0,6244.7509765625,68913000.0
2021-02-23,6820.0,6845.0,6775.0,6825.0,6276.93994140625,58360000.0
2021-02-24,6825.0,6835.0,6725.0,6725.0,6184.97021484375,71869000.0
2021-02-25,6740.0,6770.0,6680.0,6705.0,6166.576171875,78688000.0
2021-02-26,6705.0,6810.0,6645.0,6710.0,6171.17431640625,173631500.0
2021-03-01,6830.0,7045.0,6800.0,7045.0,6479.27392578125,205539000.0
2021-03-02,7120.0,7160.0,7000.0,7015.0,6451.68310546875,81446500.0
2021-03-03,7065.0,7085.0,7000.0,7000.0,6437.8876953125,84470000.0
2021-03-04,6905.0,7000.0,6720.0,6720.0,6180.3720703125,120802500.0
2021-03-05,6720.0,6925.0,6720.0,6800.0,6253.947265625,111871500.0
2021-03-08,6950.0,6950.0,6720.0,6720.0,6180.3720703125,90883000.0
2021-03-09,6700.0,6715.0,6600.0,6605.0,6074.6064453125,135582000.0
2021-03-10,6720.0,6720.0,6620.0,6705.0,6166.576171875,50302000.0
2021-03-12,6875.0,6880.0,6715.0,6765.0,6221.75830078125,74328000.0
2021-03-15,6815.0,6820.0,6665.0,6665.0,6129.78857421875,57416000.0
2021-03-16,6710.0,6710.0,6620.0,6625.0,6093.00048828125,70755500.0
2021-03-17,6650.0,6665.0,6605.0,6610.0,6079.205078125,71474500.0
2021-03-18,6620.0,6720.0,6610.0,6705.0,6166.576171875,70067500.0
2021-03-19,6770.0,6770.0,6625.0,6760.0,6217.15966796875,125853000.0
2021-03-22,6640.0,6680.0,6610.0,6620.0,6088.40185546875,67523500.0
2021-03-23,6720.0,6720.0,6555.0,6565.0,6037.81884765625,127762500.0
2021-03-24,6515.0,6550.0,6420.0,6440.0,5922.85595703125,152050000.0
2021-03-25,6400.0,6440.0,6330.0,6370.0,5858.47705078125,119101500.0
2021-03-26,6370.0,6445.0,6300.0,6415.0,5899.86376953125,134467500.0
2021-03-29,6410.0,6515.0,6360.0,6360.0,5849.2802734375,113370500.0
2021-03-30,6370.0,6455.0,6370.0,6395.0,5881.4697265625,83115500.0
2021-03-31,6390.0,6395.0,6145.0,6215.0,5715.92431640625,223390500.0
2021-04-01,6215.0,6270.0,6155.0,6225.0,5725.12158203125,112286000.0
2021-04-05,6250.0,6290.0,6155.0,6155.0,5660.74267578125,73311500.0
2021-04-06,6135.0,6170.0,6080.0,6165.0,5669.939453125,80215000.0
2021-04-07,6155.0,6275.0,6135.0,6250.0,5748.1142578125,107908000.0
2021-04-08,6200.0,6215.0,6125.0,6135.0,5721.44091796875,123697500.0
2021-04-09,6315.0,6320.0,6145.0,6200.0,5782.06005859375,116961000.0
2021-04-12,6295.0,6295.0,6060.0,6065.0,5656.16015625,110411500.0
2021-04-13,6050.0,6060.0,5980.0,6000.0,5595.54150390625,119211500.0
2021-04-14,6105.0,6305.0,6060.0,6305.0,5879.98193359375,135519500.0
2021-04-15,6305.0,6310.0,6180.0,6280.0,5856.6669921875,102686500.0
2021-04-16,6370.0,6370.0,6215.0,6275.0,5852.00390625,79293500.0
